FECHA / ESTADO,Vuelo,A,SALIDA PROGRAMADA,PARTIDA,LLEGADO,DURACIÓN,Origen,ICAO
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX1503 AEA22RZ  Air Europa UX/AEA,Frankfurt (FRA / EDDF),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:30 CET  25 min tarde,01 ene 09:35 CET  9 min temprano,2h 4m,Madrid,LEMD
"jue, 01. ene  01 ene 04:15 CET  Incógnita",WT122 Swiftair WT/SWT,Tenerife (TFN / GCXO),01 ene 04:15 CET  01 ene 03:15 UTC,,,4h,Madrid,LEMD
"jue, 01. ene  01 ene 05:45 CET  Aterrizado",FR8992 RYR38UU  Ryanair FR/RYR,Verona (VRN / LIPX),01 ene 05:45 CET  01 ene 04:45 UTC,01 ene 06:21 CET  36 min tarde,01 ene 08:08 CET  3 min tarde,1h 46m,Madrid,LEMD
"jue, 01. ene  01 ene 05:45 CET  Aterrizado",FR348 RYR6377  Ryanair FR/RYR,London (STN / EGSS),01 ene 05:45 CET  01 ene 04:45 UTC,01 ene 06:23 CET  38 min tarde,01 ene 07:18 GMT  3 min tarde,1h 55m,Madrid,LEMD
"jue, 01. ene  01 ene 05:50 CET  Aterrizado",FR2948 RYR67ZJ  Ryanair FR/RYR,Brussels (BRU / EBBR),01 ene 05:50 CET  01 ene 04:50 UTC,01 ene 06:35 CET  45 min tarde,01 ene 08:29 CET  9 min tarde,1h 54m,Madrid,LEMD
"jue, 01. ene  01 ene 05:50 CET  Aterrizado",FR5382 RYR97QV  Ryanair FR/RYR,Luqa (MLA / LMML),01 ene 05:50 CET  01 ene 04:50 UTC,01 ene 06:36 CET  46 min tarde,01 ene 08:44 CET  9 min tarde,2h 8m,Madrid,LEMD
"jue, 01. ene  01 ene 05:50 CET  Aterrizado",AZ59 ITY059  Alitalia AZ/AZA,Rome (FCO / LIRF),01 ene 05:50 CET  01 ene 04:50 UTC,01 ene 06:19 CET  29 min tarde,01 ene 08:14 CET  a tiempo,1h 54m,Madrid,LEMD
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",KL1500 KLM82Z  KLM Royal Dutch Airlines KL/KLM,Amsterdam (AMS / EHAM),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:31 CET  31 min tarde,01 ene 08:33 CET  3 min tarde,2h 2m,Madrid,LEMD
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",AF1401 AFR49BW  Air France AF/AFR,Paris (CDG / LFPG),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:37 CET  37 min tarde,01 ene 08:16 CET  3 min temprano,1h 38m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Incógnita",WT153 Swiftair WT/SWT,Casablanca (CMN / GMMN),01 ene 06:10 CET  01 ene 05:10 UTC,,,2h 30m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Aterrizado",FR5462 RYR9VR  Ryanair FR/RYR,Brussels (CRL / EBCI),01 ene 06:10 CET  01 ene 05:10 UTC,01 ene 06:54 CET  44 min tarde,01 ene 08:49 CET  19 min tarde,1h 54m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Aterrizado",FR2015 RYR52JF  Ryanair FR/RYR,Lanzarote (ACE / GCRR),01 ene 06:10 CET  01 ene 05:10 UTC,01 ene 06:46 CET  36 min tarde,01 ene 09:09 CET  24 min tarde,2h 23m,Madrid,LEMD
"jue, 01. ene  01 ene 06:20 CET  Aterrizado",TK1360 THY98U  Turkish Airlines TK/THY,Istanbul (IST / LTFM),01 ene 06:20 CET  01 ene 05:20 UTC,01 ene 06:33 CET  13 min tarde,01 ene 18:36 UTC+03  5 h 56 min tarde,10h 2m,Madrid,LEMD
"jue, 01. ene  01 ene 06:25 CET  Aterrizado",ET740 ETH740  Ethiopian Airlines ET/ETH,Porto (OPO / LPPR),01 ene 06:25 CET  01 ene 05:25 UTC,01 ene 06:43 CET  18 min tarde,01 ene 06:34 WET  15 min temprano,51m,Madrid,LEMD
"jue, 01. ene  01 ene 06:25 CET  Aterrizado",SN3732 BEL2FR  Brussels Airlines SN/BEL,Brussels (BRU / EBBR),01 ene 06:25 CET  01 ene 05:25 UTC,01 ene 06:56 CET  31 min tarde,01 ene 08:44 CET  5 min temprano,1h 47m,Madrid,LEMD
"jue, 01. ene  01 ene 06:30 CET  Aterrizado",UX1159 AEA63QN  Air Europa UX/AEA,Lisbon (LIS / LPPT),01 ene 06:30 CET  01 ene 05:30 UTC,01 ene 06:53 CET  23 min tarde,01 ene 06:51 WET  1 min tarde,58m,Madrid,LEMD
"jue, 01. ene  01 ene 06:35 CET  Aterrizado",UX1147 AEA78FJ  Air Europa UX/AEA,Porto (OPO / LPPR),01 ene 06:35 CET  01 ene 05:35 UTC,01 ene 07:03 CET  28 min tarde,01 ene 06:53 WET  3 min tarde,49m,Madrid,LEMD
"jue, 01. ene  01 ene 06:35 CET  Aterrizado",AV27 AVA027  Avianca AV/AVA,Bogota (BOG / SKBO),01 ene 06:35 CET  01 ene 05:35 UTC,01 ene 07:49 CET  1 h 14 min tarde,01 ene 12:12 UTC-05  1 h 17 min tarde,10h 23m,Madrid,LEMD
"jue, 01. ene  01 ene 06:45 CET  Aterrizado",IB711 IBE0711  Iberia IB/IBE,London (LHR / EGLL),01 ene 06:45 CET  01 ene 05:45 UTC,01 ene 07:07 CET  22 min tarde,01 ene 08:17 GMT  7 min temprano,2h 10m,Madrid,LEMD
"jue, 01. ene  01 ene 06:45 CET  Aterrizado",TO4781 TVF22JR  Transavia France TO/TVF,Paris (ORY / LFPO),01 ene 06:45 CET  01 ene 05:45 UTC,01 ene 07:35 CET  50 min tarde,01 ene 09:16 CET  26 min tarde,1h 41m,Madrid,LEMD
"jue, 01. ene  01 ene 06:55 CET  Aterrizado",UX1081 AEA69DK  Air Europa UX/AEA,Venice (VCE / LIPZ),01 ene 06:55 CET  01 ene 05:55 UTC,01 ene 07:22 CET  27 min tarde,01 ene 09:16 CET  8 min temprano,1h 54m,Madrid,LEMD
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",NT6017 IBB37VK  Binter Canarias NT/IBB,Las Palmas (LPA / GCLP),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:22 CET  22 min tarde,01 ene 09:05 WET  15 min tarde,2h 42m,Madrid,LEMD
"jue, 01. ene  01 ene 07:00 CET  Aterrizado",NT6073 IBB5WU  Binter Canarias NT/IBB,Tenerife (TFN / GCXO),01 ene 07:00 CET  01 ene 06:00 UTC,01 ene 07:28 CET  28 min tarde,01 ene 12:31 WET  3 h 41 min tarde,6h 3m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX9059 AEA9059  Air Europa UX/AEA,Tenerife (TFN / GCXO),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:21 CET  16 min tarde,01 ene 09:07 WET  12 min tarde,2h 46m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX1515 AEA53LF  Air Europa UX/AEA,Munich (MUC / EDDM),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:28 CET  23 min tarde,01 ene 09:33 CET  11 min temprano,2h 4m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX1503 AEA22RZ  Air Europa UX/AEA,Frankfurt (FRA / EDDF),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:30 CET  25 min tarde,01 ene 09:35 CET  9 min temprano,2h 4m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX4063 AEA4063  Air Europa UX/AEA,Valencia (VLC / LEVC),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:47 CET  42 min tarde,01 ene 08:21 CET  16 min tarde,33m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX1043 AEA35SH  Air Europa UX/AEA,Rome (FCO / LIRF),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:38 CET  33 min tarde,01 ene 09:26 CET  3 min temprano,1h 47m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX9156 AEA9156  Air Europa UX/AEA,Las Palmas (LPA / GCLP),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:25 CET  20 min tarde,01 ene 09:01 WET  1 min tarde,2h 35m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",IB403 IBE04VV  Iberia IB/IBE,Barcelona (BCN / LEBL),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 07:15 CET  10 min tarde,01 ene 08:06 CET  18 min temprano,50m,Madrid,LEMD
"jue, 01. ene  01 ene 07:05 CET  Aterrizado",UX4047 AEA52CA  Air Europa UX/AEA,Alicante (ALC / LEAL),01 ene 07:05 CET  01 ene 06:05 UTC,01 ene 09:21 CET  2 h 16 min tarde,01 ene 08:30 CET  20 min tarde,,Madrid,LEMD
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",KL1500 KLM82Z  KLM Royal Dutch Airlines KL/KLM,Amsterdam (AMS / EHAM),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:31 CET  31 min tarde,01 ene 08:33 CET  3 min tarde,2h 2m,Madrid,LEMD
"jue, 01. ene  01 ene 06:00 CET  Aterrizado",AF1401 AFR49BW  Air France AF/AFR,Paris (CDG / LFPG),01 ene 06:00 CET  01 ene 05:00 UTC,01 ene 06:37 CET  37 min tarde,01 ene 08:16 CET  3 min temprano,1h 38m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Incógnita",WT153 Swiftair WT/SWT,Casablanca (CMN / GMMN),01 ene 06:10 CET  01 ene 05:10 UTC,,,2h 30m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Aterrizado",FR2015 RYR52JF  Ryanair FR/RYR,Lanzarote (ACE / GCRR),01 ene 06:10 CET  01 ene 05:10 UTC,01 ene 06:46 CET  36 min tarde,01 ene 09:09 CET  24 min tarde,2h 23m,Madrid,LEMD
"jue, 01. ene  01 ene 06:10 CET  Aterrizado",FR5462 RYR9VR  Ryanair FR/RYR,Brussels (CRL / EBCI),01 ene 06:10 CET  01 ene 05:10 UTC,01 ene 06:54 CET  44 min tarde,01 ene 08:49 CET  19 min tarde,1h 54m,Madrid,LEMD
"jue, 01. ene  01 ene 06:20 CET  Aterrizado",TK1360 THY98U  Turkish Airlines TK/THY,Istanbul (IST / LTFM),01 ene 06:20 CET  01 ene 05:20 UTC,01 ene 06:33 CET  13 min tarde,01 ene 18:36 UTC+03  5 h 56 min tarde,10h 2m,Madrid,LEMD
"jue, 01. ene  01 ene 06:25 CET  Aterrizado",SN3732 BEL2FR  Brussels Airlines SN/BEL,Brussels (BRU / EBBR),01 ene 06:25 CET  01 ene 05:25 UTC,01 ene 06:56 CET  31 min tarde,01 ene 08:44 CET  5 min temprano,1h 47m,Madrid,LEMD
"jue, 01. ene  01 ene 06:25 CET  Aterrizado",ET740 ETH740  Ethiopian Airlines ET/ETH,Porto (OPO / LPPR),01 ene 06:25 CET  01 ene 05:25 UTC,01 ene 06:43 CET  18 min tarde,01 ene 06:34 WET  15 min temprano,51m,Madrid,LEMD
